-0.08,39.03,-0.30,0.41,14674189

-0.02,39.45,-0.27,0.41,14674290

-0.11,39.30,-0.25,0.41,14674391

-0.08,39.47,-0.25,0.41,14674492

-0.08,32.56,-0.22,0.41,14674593

-0.14,39.45,-0.26,0.41,14674694

-0.08,39.83,-0.26,0.41,14674795

-0.08,39.95,-0.25,0.41,14674896

-0.08,39.89,-0.25,0.41,14674997

-0.02,51.59,-0.25,0.38,14675098

-0.08,52.00,-0.25,0.38,14675199

-0.14,51.97,-0.25,0.38,14675300

-0.02,52.24,-0.22,0.38,14675401

-0.08,52.06,-0.25,0.38,14675502

0.02,51.68,-0.25,0.44,14675603

0.05,51.18,-0.25,0.44,14675704

-0.11,40.07,-0.25,0.44,14675805

0.00,40.21,-0.19,0.44,14675906

0.17,40.04,-0.19,0.44,14676007

0.32,40.04,-0.24,0.38,14676108

0.17,39.98,-0.14,0.38,14676209

0.41,40.01,-0.21,0.38,14676310

0.38,51.30,-0.24,0.38,14676411

0.47,51.47,-0.21,0.38,14676512

1.15,39.83,-0.12,0.41,14676613

2.36,51.74,0.05,0.41,14676714

2.92,52.12,0.14,0.41,14676815

3.63,52.48,0.05,0.41,14676916

4.55,52.65,0.10,0.41,14677017

5.73,39.03,0.13,0.32,14677118

6.70,52.63,0.13,0.32,14677219

7.71,52.98,0.14,0.32,14677320

8.48,53.16,0.09,0.32,14677421

9.21,36.70,0.09,0.32,14677522

10.37,33.92,0.16,0.35,14677623

13.17,41.10,0.31,0.35,14677724

14.12,42.05,0.30,0.35,14677825

14.74,42.64,0.25,0.35,14677926

15.39,43.38,0.27,0.35,14678027

16.10,43.91,0.24,0.38,14678128

17.28,44.50,0.24,0.38,14678229

18.88,45.36,0.39,0.38,14678330

16.84,44.85,0.39,0.38,14678431

10.72,43.05,-0.62,0.41,14678532

3.10,40.30,-1.58,0.41,14678633

2.12,39.86,-1.57,0.41,14678734

1.74,39.71,-1.43,0.41,14678835

1.59,39.92,-1.29,0.41,14678936

1.03,40.01,-1.09,0.41,14679037

0.73,51.83,-1.01,0.41,14679138

0.53,51.68,-0.86,0.41,14679239

0.32,51.71,-0.70,0.41,14679340

0.20,51.71,-0.57,0.41,14679441

0.05,51.53,-0.38,0.41,14679542

0.05,50.94,-0.33,0.41,14679643

0.00,40.04,-0.33,0.41,14679744

0.02,39.83,-0.28,0.41,14679845

-0.02,40.01,-0.28,0.41,14679946

-0.08,38.41,-0.22,0.44,14680047

-0.08,40.01,-0.25,0.44,14680148

-0.14,39.86,-0.25,0.44,14680249

-0.08,39.59,-0.25,0.44,14680350

-0.02,51.27,-0.22,0.44,14680451

-0.05,32.62,-0.22,0.44,14680552

-0.08,51.53,-0.25,0.44,14680653

